title,genres,runtime,vote_average,vote_count,year
Reckless,"['fantasy', 'comedy', 'drama']",91.0,10.0,1.0,1995
Safe,['drama'],119.0,7.2,62.0,1995
The Scarlet Letter,"['drama', 'history', 'romance']",135.0,5.5,111.0,1995
The Show,['documentary'],93.0,5.3,2.0,1995
Showgirls,['drama'],128.0,4.9,261.0,1995
Smoke,"['comedy', 'drama']",112.0,7.2,115.0,1995
Something to Talk About,['comedy'],106.0,5.7,60.0,1995
Species,"['science fiction', 'horror', 'action']",108.0,5.5,457.0,1995
The Stars Fell on Henrietta,['drama'],109.0,6.6,6.0,1995
Strange Days,"['crime', 'drama', 'science fiction', 'thriller']",145.0,6.8,334.0,1995
The Umbrellas of Cherbourg,"['drama', 'romance']",91.0,7.6,119.0,1964
The Tie That Binds,['thriller'],99.0,4.6,9.0,1995
Three Wishes,"['drama', 'fantasy']",115.0,6.1,18.0,1995
Total Eclipse,"['drama', 'romance']",111.0,6.5,112.0,1995
"To Wong Foo, Thanks for Everything! Julie Newmar",['comedy'],105.0,6.3,117.0,1995
Under Siege 2: Dark Territory,"['action', 'thriller']",100.0,5.6,217.0,1995
Unstrung Heroes,"['comedy', 'drama', 'family']",93.0,6.4,9.0,1995
Unzipped,['documentary'],73.0,6.0,6.0,1995
A Walk in the Clouds,"['drama', 'romance']",103.0,6.5,168.0,1995
Waterworld,"['adventure', 'action']",135.0,5.9,1017.0,1995
White Man's Burden,['drama'],89.0,5.1,25.0,1995
Wild Bill,"['action', 'western']",98.0,5.9,27.0,1995
The Browning Version,['drama'],97.0,6.0,11.0,1994
Bushwhacked,"['adventure', 'action', 'comedy', 'crime', 'family']",90.0,4.9,29.0,1995
Burnt by the Sun,['drama'],135.0,6.7,35.0,1994
Before the Rain,"['drama', 'war']",113.0,7.7,45.0,1994
Before Sunrise,"['drama', 'romance']",105.0,7.7,984.0,1995
Billy Madison,['comedy'],89.0,6.2,464.0,1995
The Babysitter,"['drama', 'thriller']",90.0,4.7,27.0,1995
Boys on the Side,"['comedy', 'drama']",115.0,6.3,48.0,1995
The Cure,"['drama', 'family']",97.0,7.2,58.0,1995
Castle Freak,"['thriller', 'drama', 'horror', 'mystery']",95.0,5.8,40.0,1995
Circle of Friends,"['drama', 'family', 'romance']",103.0,6.5,30.0,1995
Clerks,['comedy'],92.0,7.4,769.0,1994
Don Juan DeMarco,"['romance', 'drama', 'comedy']",97.0,6.3,184.0,1994
Disclosure,"['drama', 'thriller', 'crime', 'mystery', 'romance']",123.0,5.9,217.0,1994
Dream Man,['thriller'],0.0,2.5,1.0,1995
Drop Zone,"['action', 'adventure', 'thriller']",101.0,5.1,91.0,1994
Destiny Turns on the Radio,"['crime', 'comedy', 'fantasy']",0.0,5.3,9.0,1995
Death and the Maiden,"['drama', 'thriller', 'mystery']",103.0,7.1,92.0,1994
Dolores Claiborne,"['crime', 'drama', 'mystery']",132.0,7.1,183.0,1995
Dumb and Dumber,['comedy'],107.0,6.5,1894.0,1994
Eat Drink Man Woman,"['comedy', 'drama', 'romance']",123.0,7.5,76.0,1994
Exotica,"['drama', 'mystery']",103.0,6.5,64.0,1994
Exit to Eden,"['thriller', 'comedy', 'crime', 'romance']",113.0,4.3,28.0,1994
Ed Wood,"['comedy', 'drama', 'history']",127.0,7.3,639.0,1994
French Kiss,"['comedy', 'romance']",111.0,6.2,179.0,1995
Forget Paris,"['comedy', 'drama', 'romance']",101.0,6.1,38.0,1995
Far from Home: The Adventures of Yellow Dog,"['action', 'adventure', 'drama', 'family']",87.0,5.6,27.0,1995
A Goofy Movie,"['romance', 'animation', 'family', 'comedy', 'adventure']",78.0,6.7,404.0,1995
Hideaway,"['drama', 'thriller']",103.0,5.0,24.0,1995
Fluke,"['drama', 'family', 'fantasy']",96.0,6.6,48.0,1995
Farinelli,"['history', 'drama']",111.0,5.9,20.0,1994
Gordy,"['drama', 'family', 'fantasy']",90.0,3.0,4.0,1995
Gumby: The Movie,"['fantasy', 'animation', 'science fiction', 'family']",77.0,5.0,2.0,1995
The Glass Shield,"['drama', 'action', 'thriller', 'crime']",109.0,5.4,9.0,1994
Hoop Dreams,['documentary'],171.0,7.7,91.0,1994
Heavenly Creatures,"['drama', 'fantasy']",99.0,6.9,299.0,1994
Houseguest,"['comedy', 'family']",113.0,6.0,17.0,1995
Immortal Beloved,"['drama', 'music', 'romance']",121.0,6.9,90.0,1994
Heavyweights,"['comedy', 'family', 'drama']",100.0,6.0,97.0,1995
The Hunted,"['action', 'thriller']",106.0,6.0,25.0,1995
I.Q.,"['comedy', 'drama', 'romance']",100.0,5.9,112.0,1994
Interview with the Vampire,"['horror', 'romance']",123.0,7.2,1558.0,1994
Jefferson in Paris,"['drama', 'romance']",139.0,5.2,10.0,1995
The Jerky Boys,"['comedy', 'crime']",82.0,4.8,10.0,1995
Junior,"['comedy', 'family', 'romance']",109.0,4.7,381.0,1994
Just Cause,"['action', 'drama', 'mystery', 'thriller']",102.0,6.0,124.0,1995
A Kid in King Arthur's Court,"['adventure', 'fantasy', 'comedy', 'science fiction', 'family']",89.0,4.3,40.0,1995
Kiss of Death,"['action', 'crime', 'drama', 'thriller']",101.0,5.7,83.0,1995
Star Wars,"['adventure', 'action', 'science fiction']",121.0,8.1,6778.0,1977
Little Women,"['drama', 'romance']",115.0,7.0,222.0,1994
A Little Princess,"['drama', 'family', 'fantasy']",97.0,7.4,207.0,1995
Ladybird Ladybird,['drama'],101.0,7.4,14.0,1994
L'Enfer,"['crime', 'drama']",100.0,6.6,22.0,1994
Like Water for Chocolate,"['drama', 'romance']",105.0,6.6,70.0,1992
Legends of the Fall,"['adventure', 'drama', 'romance', 'war']",133.0,7.2,636.0,1994
Major Payne,"['adventure', 'comedy', 'family']",95.0,6.1,164.0,1995
Little Odessa,"['action', 'drama']",98.0,6.4,31.0,1994
Mi Vida Loca,"['crime', 'drama']",92.0,5.7,9.0,1994
Love Affair,"['drama', 'romance']",108.0,4.3,11.0,1994
Losing Isaiah,['drama'],106.0,6.4,28.0,1995
The Madness of King George,"['comedy', 'drama', 'history']",107.0,6.7,67.0,1994
Mary Shelley's Frankenstein,"['drama', 'horror', 'science fiction', 'romance']",123.0,6.1,272.0,1994
Man of the House,"['action', 'comedy', 'family']",96.0,5.1,40.0,1995
Mixed Nuts,"['comedy', 'drama', 'romance']",97.0,5.2,37.0,1994
Milk Money,"['comedy', 'romance']",108.0,5.6,49.0,1994
Miracle on 34th Street,"['fantasy', 'drama', 'family']",114.0,6.4,199.0,1994
Miami Rhapsody,"['comedy', 'romance']",95.0,5.6,7.0,1995
My Family,"['comedy', 'drama']",128.0,7.0,11.0,1995
Murder in the First,"['crime', 'drama']",122.0,6.9,140.0,1995
Nobody's Fool,"['drama', 'comedy']",110.0,7.0,56.0,1994
Nell,"['drama', 'thriller']",112.0,6.1,128.0,1994
New Jersey Drive,"['crime', 'drama']",98.0,6.9,7.0,1995
New York Cop,"['action', 'thriller', 'crime', 'drama']",93.0,0.0,0.0,1993
Beyond Bedlam,['horror'],89.0,4.0,4.0,1994
Nemesis 2 - Nebula,"['science fiction', 'action', 'thriller']",83.0,4.6,10.0,1995
Nina Takes a Lover,"['drama', 'romance']",100.0,7.4,4.0,1995
Natural Born Killers,"['crime', 'thriller', 'drama']",119.0,6.9,927.0,1994
Only You,"['comedy', 'drama', 'romance']",115.0,6.4,92.0,1994
Once Were Warriors,['drama'],99.0,7.6,106.0,1994
Poison Ivy II: Lily,"['drama', 'romance', 'thriller']",106.0,4.6,32.0,1996
Outbreak,"['action', 'drama', 'science fiction', 'thriller']",127.0,6.4,522.0,1995
Leon: The Professional,"['thriller', 'crime', 'drama']",110.0,8.2,4293.0,1994
The Perez Family,"['comedy', 'drama', 'romance']",113.0,6.6,9.0,1995
A Pyromaniac's Love Story,"['comedy', 'drama', 'romance']",94.0,7.0,2.0,1995
Pulp Fiction,"['thriller', 'crime']",154.0,8.3,8670.0,1994
Panther,['drama'],124.0,6.4,6.0,1995
Pushing Hands,"['comedy', 'drama']",105.0,6.1,9.0,1992
Priest,"['drama', 'romance']",98.0,6.4,32.0,1994
Quiz Show,"['history', 'drama']",133.0,7.1,262.0,1994
Picture Bride,"['drama', 'history']",94.0,7.4,5.0,1995
Queen Margot,"['drama', 'history']",162.0,7.0,67.0,1994
The Quick and the Dead,"['action', 'western']",107.0,6.2,431.0,1995
Roommates,"['drama', 'comedy']",108.0,6.4,7.0,1995
Prêt-à-Porter,"['drama', 'comedy']",133.0,5.3,33.0,1994
Three Colors: Red,"['drama', 'mystery', 'romance']",99.0,7.8,246.0,1994
Three Colors: Blue,"['drama', 'music', 'mystery']",98.0,7.7,311.0,1993
Three Colors: White,"['comedy', 'drama', 'mystery']",91.0,7.3,218.0,1994
"Red Firecracker, Green Firecracker",['drama'],111.0,7.0,2.0,1994
Rent-a-Kid,"['comedy', 'family', 'tv movie']",85.0,5.1,15.0,1995
Relative Fear,"['horror', 'drama']",90.0,4.7,3.0,1995
Stuart Saves His Family,"['comedy', 'drama']",95.0,5.0,6.0,1995
The Swan Princess,['animation'],89.0,6.5,251.0,1994
The Secret of Roan Inish,"['drama', 'family', 'fantasy']",97.0,6.1,15.0,1994
The Specialist,"['action', 'thriller']",110.0,5.5,317.0,1994
Stargate,"['action', 'adventure', 'science fiction']",121.0,6.8,942.0,1994
The Santa Clause,"['fantasy', 'drama', 'comedy', 'family']",97.0,6.3,501.0,1994
The Shawshank Redemption,"['drama', 'crime']",142.0,8.5,8358.0,1994
Shallow Grave,"['crime', 'thriller']",92.0,7.0,247.0,1994
Suture,"['drama', 'thriller']",96.0,6.0,7.0,1993
Strawberry and Chocolate,"['comedy', 'drama']",108.0,7.1,16.0,1993
Swimming with Sharks,"['crime', 'comedy']",101.0,6.7,104.0,1994
The Sum of Us,"['comedy', 'drama', 'romance']",100.0,6.0,21.0,1994
Senior Trip,['comedy'],91.0,5.7,23.0,1995
To Live,"['drama', 'romance', 'war']",125.0,7.7,62.0,1994
Tank Girl,"['action', 'comedy', 'fantasy', 'science fiction']",98.0,5.5,140.0,1995
Tales from the Crypt: Demon Knight,"['horror', 'comedy', 'thriller']",92.0,6.7,96.0,1995
Star Trek: Generations,"['science fiction', 'action', 'adventure', 'thriller']",118.0,6.4,461.0,1994
Tales from the Hood,"['crime', 'horror', 'thriller']",98.0,5.4,33.0,1995
Tom & Viv,"['drama', 'romance']",115.0,5.8,8.0,1994
Village of the Damned,"['thriller', 'horror', 'science fiction']",99.0,5.6,165.0,1995
Tommy Boy,['comedy'],97.0,6.8,321.0,1995
Vanya on 42nd Street,"['drama', 'romance']",119.0,6.1,15.0,1994
The Underneath,"['thriller', 'crime']",99.0,5.6,15.0,1995
The Walking Dead,"['drama', 'war']",88.0,6.6,4.0,1995
What's Eating Gilbert Grape,"['romance', 'drama']",118.0,7.5,943.0,1993
Virtuosity,"['action', 'crime', 'science fiction', 'thriller']",106.0,5.4,163.0,1995
While You Were Sleeping,"['comedy', 'drama', 'romance']",103.0,6.5,340.0,1995
The War,['drama'],126.0,6.3,39.0,1994
Double Happiness,"['comedy', 'romance']",87.0,5.5,2.0,1994
Muriel's Wedding,"['drama', 'comedy', 'romance']",106.0,6.9,104.0,1994
The Baby-Sitters Club,"['comedy', 'drama', 'family']",94.0,5.3,23.0,1995
Ace Ventura: Pet Detective,"['comedy', 'mystery']",86.0,6.4,1684.0,1994
"The Adventures of Priscilla, Queen of the Desert","['drama', 'comedy']",104.0,7.2,174.0,1994
Backbeat,"['drama', 'music']",100.0,6.2,37.0,1994
Bitter Moon,"['thriller', 'drama', 'romance']",139.0,7.0,115.0,1992
Bullets Over Broadway,"['action', 'comedy', 'thriller']",98.0,7.0,130.0,1994
Clear and Present Danger,"['action', 'drama', 'thriller']",141.0,6.4,390.0,1994
The Client,"['drama', 'thriller', 'crime', 'mystery']",119.0,6.4,287.0,1994
"Corrina, Corrina","['comedy', 'drama', 'family', 'romance']",115.0,6.4,83.0,1994
Crooklyn,"['comedy', 'drama']",115.0,6.7,31.0,1994
The Crow,"['fantasy', 'action', 'thriller']",102.0,7.3,980.0,1994
Cobb,['drama'],128.0,6.1,29.0,1994
The Flintstones,"['fantasy', 'comedy', 'family']",91.0,5.0,559.0,1994
Forrest Gump,"['comedy', 'drama', 'romance']",142.0,8.2,8147.0,1994
Four Weddings and a Funeral,"['comedy', 'drama', 'romance']",117.0,6.6,654.0,1994
Higher Learning,"['romance', 'drama', 'crime']",127.0,6.4,49.0,1995
I Like It Like That,"['comedy', 'drama', 'romance']",104.0,6.3,4.0,1994
I Love Trouble,"['action', 'comedy', 'romance']",123.0,5.3,41.0,1994
It Could Happen to You,"['comedy', 'drama', 'romance']",101.0,6.1,154.0,1994
The Jungle Book,"['adventure', 'drama', 'family']",111.0,5.9,107.0,1994
"The Wonderful, Horrible Life of Leni Riefenstahl","['documentary', 'foreign']",180.0,7.3,5.0,1993
The Lion King,"['family', 'animation', 'drama']",89.0,8.0,5520.0,1994
Little Buddha,"['drama', 'history']",140.0,6.0,76.0,1993
New Nightmare,"['horror', 'thriller', 'mystery', 'fantasy']",112.0,6.4,297.0,1994
The Mask,"['romance', 'comedy', 'crime', 'fantasy']",101.0,6.6,2550.0,1994
Maverick,"['action', 'adventure', 'comedy', 'drama', 'western']",127.0,6.6,490.0,1994
Mrs. Parker and the Vicious Circle,['drama'],125.0,6.3,20.0,1994
The Naked Gun 33⅓: The Final Insult,"['comedy', 'crime']",83.0,6.4,535.0,1994
The Paper,"['comedy', 'drama']",112.0,6.1,40.0,1994
Reality Bites,['drama'],99.0,6.5,180.0,1994
Red Rock West,"['crime', 'drama', 'thriller']",98.0,6.4,71.0,1993
Ri¢hie Ri¢h,"['comedy', 'family']",95.0,5.4,426.0,1994
Safe Passage,['drama'],98.0,4.9,7.0,1994
The River Wild,"['action', 'adventure', 'crime', 'thriller']",111.0,6.1,214.0,1994
Speed,"['action', 'adventure', 'crime']",116.0,6.8,1814.0,1994
Speechless,"['comedy', 'romance']",99.0,5.5,24.0,1994
